,Course Number,Course Title,L,P,U
505,HSS F339,Theatre Art Acting and Production,3,0,3
506,HSS F340,Post Colonial Literatures,3,0,3
507,HSS F341,Performance Design,1,2,3
508,HSS F342,Advanced Communicative English,3,0,3
509,HSS F343,Professional Ethics,3,0,3
510,HSS F344,Heritage of India,3,0,3
511,HSS F345,Gandhian Thoughts,3,0,3
512,HSS F346,International Relations,3,0,3
513,HSS F347,Introduction to Carnatic Music,3,0,3
514,HSS F348,Introduction to Hindustani Music,3,0,3
515,HSS F349,Ecocriticism,3,0,3
516,HSS F350,"Human Rights: History, Theory & Practice",3,0,3
517,HSS F351,Social and Political Ecology,3,0,3
518,HSS F352,"Technology, Work and Society",3,0,3
519,HSS F353,Philosophy of Aesthetics,3,0,3
520,HSS F354,Introduction to Islamic Economy,3,0,3
521,HSS F355,"Dictatorship, Democracy &",3,0,3
522,HSS F356,Social Movements and Protest Politics,3,0,3
523,HSS F364,Political Economy of Gulf Cooperation Council States,3,0,3
524,HSS F365,Science of Sustainable Happiness,3,0,3
525,HSS F368,Asian Cinemas and Cultures,3,0,3
526,HSS F369,Caste and Gender in India,3,0,3
527,HSS F371,"Cities-Life, Issues and Conflicts",3,0,3
528,HSS F372,Introduction to Social Psychology,3,0,3
529,HSS F373,Shakespeare and Popular Culture,3,0,3
530,HSS F374,Urban Modernity and the Renewal of Paris,3,0,3
531,HSS F399,Introduction to American Literature,3,0,3
532,INSTR F211,Electrical Machines,3,1,4
533,INSTR F212,Electromagnetic Theory,3,0,3
534,INSTR F214,Electronic Devices,3,0,3
535,INSTR F215,Digital Design,3,1,4
536,INSTR F241,Microprocessors and interfacing,3,1,4
537,INSTR F242,Control Systems,3,0,3
538,INSTR F243,Signals & Systems,3,0,3
539,INSTR F244,Microelectronic Circuits,3,0,3
540,INSTR F311,Electronic Instrumentation & Instrumentation Technology,3,1,4
541,INSTR F312,Transducers and Measurement Systems,3,0,3
542,INSTR F313,Analog & Digital VLSI Design,3,0,3
543,INSTR F341,Analog Electronics,3,1,4
544,INSTR F342,Power Electronics,3,1,4
545,INSTR F343,Industrial Instrumentation & Control,3,0,3
546,INSTR F412,Analysis Instrumentation,3,0,3
547,INSTR F413,Advanced Process Control,3,0,3
548,INSTR F414,Telecommunication Switching Systems & Networks,3,0,3
549,INSTR F415,Digital Control,3,0,3
550,INSTR F419,Virtual Instrumentation,3,1,4
551,INSTR F420,Design of Instrumentation Systems,3,0,3
552,INSTR F422,Instrumentation for Petrochemical Industry,3,0,3
553,INSTR F432,Medical Instrumentation,3,0,3
554,INSTR F473,Wind Electrical Systems,3,0,3
555,IS F311,Computer Graphics,3,0,3
556,IS F341,Software Engineering,3,1,4
557,IS F462,Network Programming,3,0,3
